DiamondFire Sign Name,Terracotta Name
ActionBar,SendActionBar
AddInvRow,AddInventoryMenuRow
AdventureMode,SetToAdventureMode
AttackAnimation,SendAttackAnimation
BlockDisguise,DisguiseAsBlock
BoostElytra,BoostElytra
ChatStyle,SetChatStyle
ClearDispBlock,ClearDisplayBlock
ClearInv,ClearInventory
ClearItems,ClearItems
ClearPotions,ClearPotionEffects
ClearScoreboard,ClearScoreboard
CloseInv,CloseInventory
CombatAttribute,SetCombatAttribute
CreativeMode,SetToCreativeMode
Damage,Damage
DisableBlocks,DisableBlockModification
DispHeadTexture,DisplayHeadTexture
DisplayBellRing,DisplayBellRing
DisplayBlock,DisplayBlock
DisplayBlockOpen,DisplayBlockOpenedState
DisplayEquipment,DisplayEquipmentChange
DisplayFracture,DisplayBlockFracture
DisplayGateway,DisplayGatewayBeam
DisplayHologram,DisplayHologram
DisplayLightning,DisplayLightningBolt
DisplayPickup,DisplayPickUpAnimation
DisplaySignText,DisplaySignText
EnableBlocks,EnableBlockModification
ExpandInv,ExpandInventoryMenu
FaceLocation,FaceLocation
FallingAttribute,SetFallingAttribute
ForceFlight,ForceFlightMode
GetItemCooldown,GetItemCooldown
GiveExhaustion,GiveExhaustion
GiveExp,GiveExperience
GiveFood,GiveFood
GiveItems,GiveItems
GivePotion,GivePotionEffect
GiveSaturation,GiveSaturation
Heal,Heal
HealthAttribute,SetHealthAttribute
HurtAnimation,SendHurtAnimation
InstantRespawn,SetInstantRespawn
KBAttribute,SetKnockbackAttribute
Kick,Kick
LaunchFwd,LaunchForward
LaunchProj,LaunchProjectile
LaunchToward,LaunchTowardLocation
LaunchUp,LaunchUp
LoadInv,LoadSavedInventory
MiscAttribute,SetMiscellaneousAttribute
MobDisguise,DisguiseAsMob
MovementAttribute,SetMovementAttribute
OpenBlockInv,OpenContainerInventory
OpenBook,OpenBook
Particle,DisplayParticleEffect
ParticleCircle,DisplayParticleCircle
ParticleCircleA,DisplayAnimatedParticleCircle
ParticleCuboid,DisplayParticleCuboid
ParticleCuboidA,DisplayAnimatedParticleCuboid
ParticleLine,DisplayParticleLine
ParticleLineA,DisplayAnimatedParticleLine
ParticleRay,DisplayParticleRay
ParticleSphere,DisplayParticleSphere
ParticleSpiral,DisplayParticleSpiral
ParticleSpiralA,DisplayAnimatedParticleSpiral
PlayEntitySound,PlaySoundFromEntity
PlaySound,PlaySound
PlaySoundSeq,PlaySoundSequence
PlayerDisguise,DisguiseAsPlayer
RemoveBossBar,RemoveBossBar
RemoveInvRow,RemoveInventoryMenuRow
RemoveItems,RemoveItems
RemovePotion,RemovePotionEffect
RemoveScore,RemoveScoreboardScore
ReplaceItems,ReplaceItems
ResourcePack,SendResourcePack
RideEntity,RideEntity
RmWorldBorder,RemoveWorldBorder
